id,name,url,title,description,tech stack
1,Google AI Studio,https://ai.studio/apps/drive/1Sem-QILnYCxL-YuNpJ66SEaYQQUHWD6r,Run Chase,An arcade cricket game which uses the Gemini Live API to dynamically generate commentary on the game,Live API
2,Google AI Studio,https://ai.studio/apps/bundled/native_audio_function_call_sandbox,Native Audio Function Call Sandbox,Build your own Native Audio Function Call app! An interactive sandbox for experimenting with native audio streaming and function calling using the Gemini API.,"Native Audio, Function Calling, Live API"
3,Google AI Studio,https://ai.studio/apps/bundled/enhance,ENHANCE!,Infinitely zoom into any image with this creative enhancer. See if you can find the easter egg.,
4,Google AI Studio,https://ai.studio/apps/bundled/fitcheck,Fit Check,Upload a photo of yourself and an outfit to see how it looks on you. A virtual fitting room powered by Nano Banana.,
5,Google AI Studio,https://ai.studio/apps/bundled/mediasim,MediaSim,Create and simulate generative media with the latest Veo 3 Fast and GenMedia models using tldraw canvas to explore different workfflows,
6,Google AI Studio,https://ai.studio/apps/bundled/bananimate,Bananimate,Create animated GIFs with Nano Banana from your images and prompts,
7,Google AI Studio,https://ai.studio/apps/bundled/paint_a_place,Paint A Place,"Generate stunning watercolor paintings from any Google Maps address. Your childhood home, the cafe where you met your love, all beautifully captured. Try it now!",
8,Google AI Studio,https://ai.studio/apps/bundled/past_forward,Past Forward,Upload your photo and travel through time! This app uses AI to generate polaroid-style images of you reimagined in the iconic styles of different decades.,
9,Google AI Studio,https://ai.studio/apps/bundled/gembooth,GemBooth,Try native image model effects with your webcam.,
10,Google AI Studio,https://ai.studio/apps/bundled/home_canvas,Home Canvas,"Drag, drop, and visualize any product in your personal space.",
11,Google AI Studio,https://ai.studio/apps/bundled/pixshop,Pixshop,"A powerful, AI photo editor. Retouch, apply creative filters, and make professional adjustments to your images using simple text prompts.",
12,Google AI Studio,https://ai.studio/apps/bundled/codrawing,Gemini Co-Drawing,"Sketch and prompt, Gemini brings your drawings to life! Co-create collaboratively with AI by sketching and prompting.",
13,Google AI Studio,https://ai.studio/apps/bundled/get_started_image_out,Get Started with Gemini 2.5 Flash Image,Discover how to use the Gemini 2.5 image model (aka nano banana) using the Gemini JS SDK in an interactive way. No need to create an API key or set up your environment.,
14,Google AI Studio,https://ai.studio/apps/bundled/chat_with_docs,Chat with Docs,Chat with Gemini to explore and understand the Gemini API documentation using the URL Context tool.,
15,Google AI Studio,https://ai.studio/apps/bundled/vibecheck,VibeCheck,Quickly batch test prompts with visual outputs.,
16,Google AI Studio,https://ai.studio/apps/bundled/infinite_wiki,Infinite Wiki,Explore an infinite wiki where every word is a hyperlink to descriptions generated in real-time.,
17,Google AI Studio,https://ai.studio/apps/bundled/veo3_gallery,Veo 3 Gallery,"Explore a dynamic gallery, dive into examples and remix video prompts to generate your own unique variations",
18,Google AI Studio,https://ai.studio/apps/bundled/robotics-spatial-understanding,Robotics Spatial Understanding,"Unlock Gemini's vision capabilities for Robotics use-cases! Detect objects in images with interactive 2D bounding boxes, points, and segmentation, an essential step in performing robotics tasks.",
